order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,category,sub-category,product_name,sales,quantity,discount,profit
Ca-198797,2024-10-06,2025-05-01,Second Class,Cust-4170,Ruben Ramirez,Home Office,South,Technology,Copiers,Virtual Didactic Synergy,2467.49,9,0.29,617.24
Ca-233440,2023-06-12,2025-05-05,First Class,Cust-1196,Jesse Ortega,Home Office,Central,Furniture,Furnishings,Operative Reciprocal Projection,2751.66,1,0.09,922.14
Ca-691533,2024-04-18,2025-04-24,Standard Class,Cust-2985,Kathryn Castro,Corporate,East,Furniture,Chairs,Multi-Lateral Incremental Knowledge User,1199.66,9,0.03,220.44
Ca-277218,2023-11-02,2025-05-07,First Class,Cust-2412,Sharon Taylor,Consumer,South,Office Supplies,Labels,Integrated Bifurcated Groupware,2335.57,6,0.3,620.16
Ca-311967,2023-07-15,2025-04-14,First Class,Cust-3728,David Murillo,Corporate,South,Office Supplies,Binders,Re-Contextualized Human-Resource Benchmark,2540.88,5,0.03,258.06
Ca-990541,2023-09-20,2025-04-17,Same Day,Cust-6746,Gabriel Donaldson,Home Office,East,Office Supplies,Storage,Programmable Grid-Enabled Benchmark,1454.47,4,0.42,272.28
Ca-500069,2024-11-03,2025-05-08,Standard Class,Cust-6658,Colleen Rose,Corporate,West,Office Supplies,Storage,Switchable Secondary Database,4381.97,2,0.37,749.22
Ca-701472,2023-08-12,2025-04-23,First Class,Cust-4421,Grant Garcia,Home Office,East,Office Supplies,Storage,Public-Key Human-Resource Installation,1152.75,3,0.46,426.2
Ca-670780,2024-12-11,2025-04-28,Second Class,Cust-8240,Mr. Robert Le Jr.,Home Office,South,Office Supplies,Storage,Customizable Cohesive Hierarchy,285.06,3,0.28,955.55
Ca-497042,2025-03-21,2025-04-17,Second Class,Cust-8318,Ryan Alvarez,Corporate,South,Furniture,Furnishings,Stand-Alone Hybrid Collaboration,1033.52,9,0.29,847.17
Ca-438588,2024-06-24,2025-05-04,Second Class,Cust-6579,Jamie Clark,Consumer,Central,Furniture,Chairs,Open-Source Client-Driven Architecture,2116.64,4,0.42,612.47
Ca-110647,2023-11-27,2025-05-06,First Class,Cust-5407,Mark Wright,Corporate,South,Office Supplies,Binders,User-Centric Intermediate Infrastructure,1751.7,10,0.19,-76.33
Ca-450439,2024-09-23,2025-04-12,First Class,Cust-2133,Tyler Flores,Home Office,Central,Office Supplies,Labels,Versatile Secondary Moratorium,3526.36,6,0.05,-71.16
Ca-541703,2024-08-10,2025-04-22,First Class,Cust-4767,Ashley Harrington,Home Office,East,Office Supplies,Binders,Cross-Platform Impactful Projection,137.02,10,0.35,797.67
Ca-868444,2024-12-31,2025-04-26,Same Day,Cust-7568,Taylor Day,Consumer,South,Office Supplies,Paper,User-Friendly Composite Productivity,2655.39,7,0.46,838.36
Ca-243523,2023-11-26,2025-05-04,Standard Class,Cust-8297,Stephen Meza,Consumer,South,Furniture,Bookcases,User-Centric Zero Administration Contingency,3005.45,8,0.46,266.5
Ca-542569,2024-10-25,2025-04-18,First Class,Cust-3337,Lauren Gonzalez,Home Office,Central,Furniture,Furnishings,Right-Sized Bandwidth-Monitored Application,3138.99,10,0.08,437.46
Ca-556978,2023-12-14,2025-04-30,Standard Class,Cust-7804,Jessica Taylor,Consumer,South,Furniture,Chairs,Integrated Actuating Graphical User Interface,1163.76,2,0.09,290.99
Ca-999214,2025-02-13,2025-04-22,Standard Class,Cust-6138,Frank Butler,Home Office,East,Furniture,Chairs,Phased Attitude-Oriented Workforce,4682.19,4,0.49,242.15
Ca-947973,2025-01-05,2025-05-05,Standard Class,Cust-1524,Robin Martinez,Corporate,West,Office Supplies,Binders,Versatile Intangible Matrices,3906.76,7,0.37,845.27
Ca-431867,2023-09-02,2025-05-07,First Class,Cust-3050,Katherine Rodriguez,Corporate,Central,Technology,Copiers,Balanced Web-Enabled Utilization,3509.53,6,0.39,982.2
Ca-673639,2024-12-08,2025-05-06,Standard Class,Cust-9800,Monica Williams,Consumer,South,Furniture,Tables,Diverse Zero-Defect Monitoring,2670.44,10,0.4,570.83
Ca-129071,2024-06-15,2025-04-23,Same Day,Cust-9684,Ashley James Dds,Home Office,East,Technology,Accessories,Ameliorated Scalable Internet Solution,2928.51,9,0.22,112.74
Ca-216070,2025-01-21,2025-04-12,Same Day,Cust-9869,Kathleen Allen,Corporate,East,Furniture,Furnishings,Optional Background Algorithm,840.44,3,0.2,957.64
Ca-758620,2024-07-10,2025-04-25,Standard Class,Cust-7646,Ashley Wilkerson,Consumer,Central,Technology,Accessories,Devolved Cohesive Internet Solution,1289.46,3,0.35,-3.03
Ca-313149,2023-11-25,2025-04-24,Same Day,Cust-6363,Lori Bradford,Consumer,Central,Office Supplies,Labels,Programmable Impactful Access,2161.67,1,0.41,84.45
Ca-893613,2025-03-27,2025-05-04,Same Day,Cust-4737,Brenda Newman,Corporate,Central,Office Supplies,Paper,Right-Sized Hybrid Policy,1452.81,10,0.14,382.61
Ca-616111,2024-07-16,2025-04-30,Standard Class,Cust-2965,Anthony Lamb,Consumer,East,Furniture,Chairs,Enhanced Systematic Installation,4572.12,3,0.01,430.18
Ca-930209,2024-11-13,2025-04-15,Same Day,Cust-2863,Mr. Brad Price,Corporate,East,Technology,Copiers,Automated Uniform Info-Mediaries,2518.96,8,0.25,515.5
Ca-522549,2024-07-21,2025-04-24,First Class,Cust-4773,Valerie Ellis,Home Office,Central,Office Supplies,Art,Digitized Directional Local Area Network,1235.87,10,0.4,183.41
Ca-844927,2023-05-10,2025-04-21,Same Day,Cust-5259,Taylor Jensen,Home Office,East,Office Supplies,Art,Profound Executive Firmware,379.77,7,0.05,75.01
Ca-419746,2025-03-14,2025-04-11,Second Class,Cust-5622,Jennifer Floyd,Consumer,West,Furniture,Furnishings,Organized Reciprocal Portal,2706.93,9,0.13,244.28
Ca-651123,2024-05-04,2025-04-29,Same Day,Cust-5600,Jessica Owens,Consumer,West,Technology,Phones,Universal 6Thgeneration Circuit,228.36,7,0.08,-56.0
Ca-722089,2024-08-13,2025-04-28,Second Class,Cust-6388,Jimmy Macdonald,Corporate,South,Office Supplies,Labels,Self-Enabling Static Adapter,4569.0,5,0.01,-50.27
